Kota Pengirm,Kota Penerima,Layanan,Tarif per Kg,Berat Minimum,Estimasi (Hari)
SUKABUMI,JAKARTA,Darat,"2,500",20,1-2
SUKABUMI,BOGOR,Darat,"3,000",20,2-3
SUKABUMI,CIBINONG,Darat,"3,000",20,2-3
SUKABUMI,GUNUG PUTERI,Darat,"3,000",20,2-3
SUKABUMI,DEPOK,Darat,"2,500",20,2-3
SUKABUMI,TANGERANG,Darat,"2,500",20,2-3
SUKABUMI,BEKASI,Darat,"2,500",20,2-3
SUKABUMI,CIKARANG,Darat,"2,500",20,2-3
SUKABUMI,CIBITUNG,Darat,"3,000",20,2-3
SUKABUMI,SERANG,Darat,"4,500",20,2-3
SUKABUMI,PANDEGLANG,Darat,"5,000",20,2-3
SUKABUMI,RANGKAS BITUNG,Darat,"5,000",20,2-3
SUKABUMI,LABUAN,Darat,"5,000",20,2-3
SUKABUMI,BITUNG,Darat,"5,000",20,2-3
SUKABUMI,CILEGON,Darat,"6,000",20,2-3
SUKABUMI,ANYER,Darat,"6,000",20,2-3
SUKABUMI,MERAK,Darat,"6,000",20,2-3
SUKABUMI,BANDUNG,Darat,"2,500",20,1-2
SUKABUMI,CIMAHI,Darat,"3,000",20,1-2
SUKABUMI,PURWAKARTA,Darat,"4,000",20,1-2
SUKABUMI,CIKOPO,Darat,"4,000",20,1-2
SUKABUMI,KARAWANG,Darat,"4,000",20,1-2
SUKABUMI,CIANJUR,Darat,"2,000",20,1-2
SUKABUMI,SUBANG,Darat,"5,000",20,1-2
SUKABUMI,TASIKMALAYA,Darat,"2,500",20,2-3
SUKABUMI,GARUT,Darat,"3,500",20,2-3
SUKABUMI,CIAMIS,Darat,"4,000",20,2-3
SUKABUMI,BANJAR,Darat,"4,000",20,2-3
SUKABUMI,PURWOKERTO,Darat,"3,000",20,2-3
SUKABUMI,CILACAP,Darat,"3,500",20,2-3
SUKABUMI,PURBALINGGA,Darat,"3,500",20,2-3
SUKABUMI,BANYUMAS,Darat,"4,000",20,2-3
